"","ID","Knownd15n","Row","Time.Code","Peak.Nr","BGD.28","BGD.29","Area.28","Area.29","Ampl..28","R.29N2.28N2","d.15N.14N","lind15N","find15N"
"1","0.2",NA,48,"2022/07/13 17:56:11",3,19,14.7,1.442,0.106,61,0.0074023,6.244,5.82820290577999,4.99547679248646
"2","0.6",NA,26,"2022/07/13 14:45:22",3,19,14.7,3.968,0.294,185,0.0074223,8.953,8.72620102043193,8.04664567022389
"3","1",NA,47,"2022/07/13 17:47:31",3,19.1,14.8,6.476,0.479,299,0.0074176,8.321,8.18463356471447,7.47645421367113
"4","1.5",NA,38,"2022/07/13 16:29:28",3,19.1,14.8,9.602,0.71,452,0.0074166,8.179,8.11554794443911,7.40371714271941
"5","2.5",NA,4,"2022/07/13 11:34:37",3,18.4,14.1,15.957,1.18,757,0.007419,8.508,8.53866431683485,7.84919690358878
"6","4",NA,15,"2022/07/13 13:09:58",3,18.9,14.6,25.001,1.849,1217,0.0074184,8.429,8.54287325320286,7.85362829903709
"7","A1",NA,8,"2022/07/13 12:09:16",3,18.7,14.3,68.185,5.085,3311,0.0074801,16.821,17.1222983429739,16.8865102358609
"8","A10",NA,20,"2022/07/13 13:53:21",3,19,14.7,30.682,2.271,1482,0.0074233,9.091,9.24295951636682,8.59071691448428
"9","A11",NA,21,"2022/07/13 14:02:01",3,18.9,14.6,24.183,1.789,1169,0.00742,8.646,8.75376164730526,8.07566298619165
"10","A12",NA,22,"2022/07/13 14:10:40",3,18.9,14.6,24.702,1.828,1200,0.0074209,8.769,8.88075704793548,8.20937060044428
"11","A2",NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","A3",NA,10,"2022/07/13 12:26:37",3,18.7,14.3,64.689,4.789,3074,0.0074247,9.282,9.57218726646725,8.93734566476371
"13","A4",NA,11,"2022/07/13 12:35:18",3,18.9,14.6,33.913,2.508,1630,0.0074183,8.42,8.59035008378165,7.90361446953982
"14","A5",NA,12,"2022/07/13 12:43:57",3,18.8,14.5,21.546,1.593,1025,0.0074155,8.03,8.11626370980102,7.40447073913653
"15","A6",NA,13,"2022/07/13 12:52:37",3,18.8,14.5,28.926,2.141,1391,0.007422,8.923,9.06403855215983,8.40233926344198
"16","A7",NA,14,"2022/07/13 13:01:17",3,18.9,14.6,33.466,2.475,1621,0.0074162,8.13,8.29789618408958,7.59570321438687
"17","A8",NA,18,"2022/07/13 13:36:00",3,18.8,14.5,31.829,2.355,1551,0.0074187,8.462,8.62068848960026,7.93555638115319
"18","A9",NA,19,"2022/07/13 13:44:41",3,18.9,14.6,31.367,2.321,1533,0.0074213,8.816,8.97199422979124,8.30543003138846
"19","B1",NA,23,"2022/07/13 14:19:20",3,18.9,14.6,37.105,2.745,1798,0.007418,8.373,8.56007882587927,7.87174325487798
"20","B10",NA,36,"2022/07/13 16:12:08",3,19.1,14.8,29.003,2.147,1394,0.0074204,8.706,8.84755702279172,8.17441582150686
"21","B11",NA,37,"2022/07/13 16:20:49",3,19.1,14.8,37.402,2.767,1791,0.0074169,8.226,8.41455774077204,7.71853079980808
"22","B12",NA,40,"2022/07/13 16:46:49",3,19.1,14.8,23.128,1.711,1109,0.0074162,8.134,8.23350267754543,7.52790625409813
"23","B2",NA,24,"2022/07/13 14:28:00",3,19,14.7,38.241,2.833,1871,0.0074285,9.8,9.99292494420071,9.38032100746714
"24","B3",NA,25,"2022/07/13 14:36:41",3,19,14.7,30.968,2.292,1509,0.0074199,8.629,8.78266481049409,8.10609379687578
"25","B4",NA,30,"2022/07/13 15:20:05",3,18.9,14.6,39.739,2.944,1926,0.0074275,9.661,9.86104529628012,9.24147099396719
"26","B5",NA,31,"2022/07/13 15:28:45",3,19.1,14.8,31.38,2.323,1515,0.0074206,8.733,8.88915380492447,8.21821115954237
"27","B6",NA,32,"2022/07/13 15:37:26",3,19.1,14.8,32.407,2.399,1562,0.0074209,8.761,8.92311800932162,8.25397050765573
"28","B7",NA,33,"2022/07/13 15:46:07",3,19.1,14.7,26.601,1.969,1287,0.0074199,8.632,8.75752298141216,8.07962312181346
"29","B8",NA,34,"2022/07/13 15:54:47",3,19,14.7,35.762,2.647,1726,0.0074199,8.628,8.80834361149706,8.13312982496764
"30","B9",NA,35,"2022/07/13 16:03:27",3,19.1,14.8,38.432,2.845,1864,0.0074227,9.007,9.20070803822278,8.5462322771411
"31","BR",NA,39,"2022/07/13 16:38:09",3,19,14.7,8.872,0.654,414,0.007386,4.029,3.95032687206832,3.0183475178533
"32","C1",NA,41,"2022/07/13 16:55:29",3,19.1,14.7,22.331,1.653,1060,0.0074215,8.843,8.93611353688075,8.26765290069723
"33","C2",NA,42,"2022/07/13 17:04:09",3,19.1,14.8,35.562,2.633,1702,0.0074229,9.042,9.22136113417375,8.56797697161689
"34","C3",NA,43,"2022/07/13 17:12:49",3,19.1,14.8,31.692,2.346,1526,0.0074214,8.834,8.9919791075534,8.32647118967803
