Row,Time Code,Peak Nr,Component,BGD 44,BGD 45,BGD 46,Ampl  44,Ampl  45,Ampl  46,Area 44,Area 45,Area 46,R 45CO2/44CO2,R 46CO2/44CO2,d 13C/12C,d 18O/16O
1,2022/07/13 11:08:37,4,,1.2,1.4,1.5,1145,1302,1576,22.354,2.543,0.924,0.0119856,0.0040194,0.064,-0.034
1,2022/07/13 11:08:37,5,,1.3,1.5,1.6,1144,1302,1576,22.409,2.55,0.926,0.0119849,0.0040196,0,0
2,2022/07/13 11:17:16,4,,1.5,1.7,1.8,1879,2168,2689,38.934,4.484,1.672,0.0121035,0.0041708,9.228,37.652
2,2022/07/13 11:17:16,5,,2.1,2.4,2.9,1144,1305,1579,22.397,2.554,0.927,0.0119858,0.0040199,0.086,0.082
2,2022/07/13 11:17:16,6,,1.8,2.0,2.5,1144,1305,1579,22.407,2.555,0.928,0.0119849,0.0040196,0,0
3,2022/07/13 11:25:57,4,,1.6,1.9,2.0,413,476,592,8.343,0.96,0.359,0.0120934,0.0041739,8.298,38.418
3,2022/07/13 11:25:57,5,,1.4,1.6,1.8,1144,1305,1579,22.384,2.553,0.927,0.0119862,0.0040195,0.123,-0.012
3,2022/07/13 11:25:57,6,,1.5,1.6,1.8,1144,1305,1579,22.405,2.555,0.928,0.0119849,0.0040196,0,0
4,2022/07/13 11:34:37,4,,1.5,1.8,2.0,925,1068,1325,18.965,2.187,0.815,0.0121124,0.0041721,10.009,37.971
4,2022/07/13 11:34:37,5,,1.7,1.9,2.2,1143,1304,1578,22.367,2.552,0.927,0.0119864,0.0040205,0.128,0.224
4,2022/07/13 11:34:37,6,,1.6,1.8,2.1,1143,1304,1578,22.376,2.553,0.927,0.0119849,0.0040196,0,0
5,2022/07/13 11:43:17,4,,1.2,1.4,1.4,1142,1304,1578,22.35,2.551,0.926,0.0119856,0.0040197,0.066,0.041
5,2022/07/13 11:43:17,5,,1.3,1.5,1.6,1142,1304,1578,22.389,2.555,0.928,0.0119849,0.0040196,0,0
6,2022/07/13 11:51:57,4,,1.6,1.8,2.1,225,262,325,4.557,0.53,0.198,0.0122092,0.004208,18.345,46.891
6,2022/07/13 11:51:57,5,,1.3,1.6,1.7,1142,1304,1577,22.32,2.548,0.925,0.0119852,0.0040199,0.024,0.075
6,2022/07/13 11:51:57,6,,1.4,1.6,1.8,1142,1304,1577,22.363,2.553,0.927,0.0119849,0.0040196,0,0
7,2022/07/13 12:00:37,4,,1.5,1.7,1.9,240,275,347,4.827,0.553,0.21,0.0120308,0.0042178,2.302,49.356
7,2022/07/13 12:00:37,5,,1.3,1.5,1.7,1141,1303,1576,22.357,2.553,0.927,0.0119873,0.0040199,0.214,0.073
7,2022/07/13 12:00:37,6,,1.4,1.6,1.8,1141,1302,1576,22.342,2.551,0.926,0.0119849,0.0040196,0,0
8,2022/07/13 12:09:16,4,,1.5,1.7,1.8,2432,2847,3480,50.786,5.929,2.18,0.0122531,0.0041617,22.691,35.352
8,2022/07/13 12:09:16,5,,2.4,2.7,3.3,1141,1303,1576,22.334,2.551,0.926,0.0119858,0.0040198,0.087,0.05
8,2022/07/13 12:09:16,6,,1.9,2.3,2.7,1141,1303,1577,22.347,2.552,0.926,0.0119849,0.0040196,0,0
9,2022/07/13 12:17:57,3,,1.3,1.4,1.6,1141,1304,1577,22.328,2.551,0.926,0.0119865,0.0040196,0.145,0.017
9,2022/07/13 12:17:57,4,,1.4,1.5,1.7,1141,1304,1577,22.354,2.554,0.927,0.0119849,0.0040196,0,0
10,2022/07/13 12:26:37,4,,1.5,1.7,2.0,3116,3635,4458,67.571,7.86,2.899,0.0122063,0.0041596,18.529,34.827
10,2022/07/13 12:26:37,5,,2.7,3.1,3.7,1141,1303,1576,22.33,2.551,0.926,0.0119869,0.0040199,0.183,0.086
