Row,Time Code,Peak Nr,BGD 28,BGD 29,Area 28,Area 29,Ampl  28,R 29N2/28N2,d 15N/14N
1,2022/07/13 11:08:37,1,18.1,13.9,36.061,2.644,1853,0.0073566,0.03
1,2022/07/13 11:08:37,2,18.2,14.0,36.323,2.663,1853,0.0073564,0
1,2022/07/13 11:08:37,3,18.1,13.9,6.389,0.478,285,0.007512,21.155
2,2022/07/13 11:17:16,1,17.7,13.6,36.018,2.641,1852,0.0073566,0.021
2,2022/07/13 11:17:16,2,17.7,13.6,36.319,2.663,1852,0.0073564,0
2,2022/07/13 11:17:16,3,18.1,13.9,24.623,1.807,1179,0.0073608,0.592
3,2022/07/13 11:25:57,1,18.0,13.9,36.016,2.642,1852,0.0073564,0.003
3,2022/07/13 11:25:57,2,18.0,13.9,36.292,2.662,1852,0.0073564,0
3,2022/07/13 11:25:57,3,18.4,14.1,5.382,0.395,250,0.0073623,0.801
4,2022/07/13 11:34:37,1,18.0,13.8,36.023,2.642,1849,0.0073568,0.057
4,2022/07/13 11:34:37,2,18.0,13.8,36.23,2.657,1849,0.0073564,0
4,2022/07/13 11:34:37,3,18.4,14.1,15.957,1.18,757,0.007419,8.508
5,2022/07/13 11:43:17,1,18.1,14.0,36.008,2.641,1849,0.0073566,0.021
5,2022/07/13 11:43:17,2,18.1,13.9,36.19,2.655,1849,0.0073564,0
5,2022/07/13 11:43:17,3,18.5,14.2,12.771,0.938,602,0.0073692,1.741
6,2022/07/13 11:51:57,1,18.1,13.9,35.915,2.634,1846,0.0073566,0.027
6,2022/07/13 11:51:57,2,18.1,13.9,36.21,2.656,1846,0.0073564,0
6,2022/07/13 11:51:57,3,18.5,14.2,11.514,0.862,539,0.0075095,20.807
7,2022/07/13 12:00:37,1,18.2,14.0,35.881,2.632,1845,0.0073569,0.072
7,2022/07/13 12:00:37,2,18.2,14.0,36.166,2.652,1845,0.0073564,0
7,2022/07/13 12:00:37,3,18.6,14.3,48.633,3.562,2314,0.0073459,-1.422
8,2022/07/13 12:09:16,1,18.2,14.0,35.876,2.631,1844,0.0073566,0.03
8,2022/07/13 12:09:16,2,18.3,14.1,36.14,2.651,1843,0.0073564,0
8,2022/07/13 12:09:16,3,18.7,14.3,68.185,5.085,3311,0.0074801,16.821
9,2022/07/13 12:17:57,1,18.5,14.3,35.922,2.635,1845,0.0073564,0.006
9,2022/07/13 12:17:57,2,18.4,14.2,36.169,2.653,1844,0.0073564,0
10,2022/07/13 12:26:37,1,18.2,14.0,35.86,2.63,1844,0.0073569,0.065
10,2022/07/13 12:26:37,2,18.2,14.1,36.163,2.652,1844,0.0073564,0
10,2022/07/13 12:26:37,3,18.7,14.3,64.689,4.789,3074,0.0074247,9.282
11,2022/07/13 12:35:18,1,18.7,14.5,35.865,2.631,1843,0.0073563,-0.019
11,2022/07/13 12:35:18,2,18.6,14.4,36.091,2.647,1843,0.0073564,0
11,2022/07/13 12:35:18,3,18.9,14.6,33.913,2.508,1630,0.0074183,8.42
12,2022/07/13 12:43:57,1,18.5,14.3,35.882,2.632,1843,0.0073566,0.021
12,2022/07/13 12:43:57,2,18.4,14.2,36.086,2.647,1842,0.0073564,0
12,2022/07/13 12:43:57,3,18.8,14.5,21.546,1.593,1025,0.0074155,8.03
13,2022/07/13 12:52:37,1,18.5,14.3,35.818,2.628,1842,0.0073569,0.063
13,2022/07/13 12:52:37,2,18.5,14.3,36.132,2.65,1841,0.0073564,0
13,2022/07/13 12:52:37,3,18.8,14.5,28.926,2.141,1391,0.007422,8.923
14,2022/07/13 13:01:17,1,18.5,14.3,35.802,2.626,1840,0.0073569,0.066
14,2022/07/13 13:01:17,2,18.5,14.3,36.066,2.646,1840,0.0073564,0
14,2022/07/13 13:01:17,3,18.9,14.6,33.466,2.475,1621,0.0074162,8.13
15,2022/07/13 13:09:58,1,18.5,14.3,35.817,2.628,1840,0.0073569,0.07
15,2022/07/13 13:09:58,2,18.5,14.3,36.095,2.648,1840,0.0073564,0
15,2022/07/13 13:09:58,3,18.9,14.6,25.001,1.849,1217,0.0074184,8.429
16,2022/07/13 13:18:39,1,18.5,14.3,35.777,2.625,1840,0.0073568,0.059
16,2022/07/13 13:18:39,2,18.5,14.3,36.071,2.646,1840,0.0073564,0
16,2022/07/13 13:18:39,3,18.9,14.6,6.372,0.477,298,0.0075072,20.494
17,2022/07/13 13:27:19,1,18.3,14.2,35.833,2.629,1839,0.0073566,0.029
17,2022/07/13 13:27:19,2,18.3,14.1,36.06,2.645,1839,0.0073564,0
17,2022/07/13 13:27:19,3,18.7,14.4,24.081,1.764,1149,0.0073455,-1.483
18,2022/07/13 13:36:00,1,18.4,14.2,35.832,2.629,1839,0.0073565,0.013
18,2022/07/13 13:36:00,2,18.4,14.1,36.027,2.643,1839,0.0073564,0
18,2022/07/13 13:36:00,3,18.8,14.5,31.829,2.355,1551,0.0074187,8.462
19,2022/07/13 13:44:41,1,18.5,14.3,35.787,2.625,1839,0.0073565,0.016
19,2022/07/13 13:44:41,2,18.5,14.3,36.08,2.647,1839,0.0073564,0
19,2022/07/13 13:44:41,3,18.9,14.6,31.367,2.321,1533,0.0074213,8.816
20,2022/07/13 13:53:21,1,18.6,14.5,35.801,2.626,1838,0.0073563,-0.013
20,2022/07/13 13:53:21,2,18.6,14.4,36.066,2.646,1838,0.0073564,0
20,2022/07/13 13:53:21,3,19.0,14.7,30.682,2.271,1482,0.0074233,9.091
21,2022/07/13 14:02:01,1,18.6,14.4,35.742,2.622,1838,0.0073569,0.065
21,2022/07/13 14:02:01,2,18.5,14.4,36.02,2.642,1838,0.0073564,0
21,2022/07/13 14:02:01,3,18.9,14.6,24.183,1.789,1169,0.00742,8.646
22,2022/07/13 14:10:40,1,18.5,14.3,35.703,2.62,1838,0.0073571,0.099
22,2022/07/13 14:10:40,2,18.5,14.3,36.084,2.647,1837,0.0073564,0
22,2022/07/13 14:10:40,3,18.9,14.6,24.702,1.828,1200,0.0074209,8.769
23,2022/07/13 14:19:20,1,18.5,14.4,35.786,2.625,1837,0.0073565,0.014
23,2022/07/13 14:19:20,2,18.5,14.3,36,2.641,1837,0.0073564,0
23,2022/07/13 14:19:20,3,18.9,14.6,37.105,2.745,1798,0.007418,8.373
24,2022/07/13 14:28:00,1,18.7,14.5,35.725,2.621,1836,0.0073566,0.027
24,2022/07/13 14:28:00,2,18.6,14.4,36.007,2.642,1836,0.0073564,0
24,2022/07/13 14:28:00,3,19.0,14.7,38.241,2.833,1871,0.0074285,9.8
25,2022/07/13 14:36:41,1,18.7,14.5,35.702,2.619,1835,0.0073567,0.038
25,2022/07/13 14:36:41,2,18.7,14.4,35.953,2.638,1835,0.0073564,0
25,2022/07/13 14:36:41,3,19.0,14.7,30.968,2.292,1509,0.0074199,8.629
26,2022/07/13 14:45:22,1,18.7,14.5,35.726,2.621,1835,0.0073564,0.001
26,2022/07/13 14:45:22,2,18.6,14.5,35.961,2.638,1835,0.0073564,0
26,2022/07/13 14:45:22,3,19.0,14.7,3.968,0.294,185,0.0074223,8.953
27,2022/07/13 14:54:02,1,18.5,14.3,35.743,2.623,1836,0.007357,0.075
27,2022/07/13 14:54:02,2,18.5,14.3,36.022,2.643,1836,0.0073564,0
27,2022/07/13 14:54:02,3,18.9,14.6,6.24,0.459,293,0.0073732,2.278
28,2022/07/13 15:02:43,1,18.5,14.3,35.747,2.623,1836,0.0073568,0.058
28,2022/07/13 15:02:43,2,18.4,14.3,35.973,2.639,1836,0.0073564,0
28,2022/07/13 15:02:43,3,18.9,14.6,5.952,0.446,281,0.0075053,20.243
29,2022/07/13 15:11:24,1,18.5,14.3,35.731,2.622,1836,0.0073569,0.066
29,2022/07/13 15:11:24,2,18.5,14.3,35.999,2.641,1836,0.0073564,0
29,2022/07/13 15:11:24,3,18.9,14.6,11.724,0.859,553,0.007344,-1.685
30,2022/07/13 15:20:05,1,18.5,14.3,35.792,2.626,1837,0.0073567,0.035
30,2022/07/13 15:20:05,2,18.5,14.3,35.994,2.641,1837,0.0073564,0
30,2022/07/13 15:20:05,3,18.9,14.6,39.739,2.944,1926,0.0074275,9.661
31,2022/07/13 15:28:45,1,18.8,14.6,35.726,2.621,1836,0.0073565,0.012
31,2022/07/13 15:28:45,2,18.8,14.5,36.005,2.642,1836,0.0073564,0
31,2022/07/13 15:28:45,3,19.1,14.8,31.38,2.323,1515,0.0074206,8.733
32,2022/07/13 15:37:26,1,18.8,14.5,35.771,2.625,1838,0.0073565,0.014
32,2022/07/13 15:37:26,2,18.7,14.5,36.03,2.644,1837,0.0073564,0
32,2022/07/13 15:37:26,3,19.1,14.8,32.407,2.399,1562,0.0074209,8.761
33,2022/07/13 15:46:07,1,18.7,14.5,35.752,2.623,1837,0.0073565,0.018
33,2022/07/13 15:46:07,2,18.7,14.5,35.989,2.641,1837,0.0073564,0
33,2022/07/13 15:46:07,3,19.1,14.7,26.601,1.969,1287,0.0074199,8.632
34,2022/07/13 15:54:47,1,18.7,14.5,35.787,2.626,1838,0.0073568,0.049
34,2022/07/13 15:54:47,2,18.6,14.5,36.038,2.644,1838,0.0073564,0
34,2022/07/13 15:54:47,3,19.0,14.7,35.762,2.647,1726,0.0074199,8.628
35,2022/07/13 16:03:27,1,18.8,14.6,35.724,2.621,1838,0.0073569,0.068
35,2022/07/13 16:03:27,2,18.7,14.6,36.012,2.642,1838,0.0073564,0
35,2022/07/13 16:03:27,3,19.1,14.8,38.432,2.845,1864,0.0074227,9.007
36,2022/07/13 16:12:08,1,18.8,14.6,35.767,2.624,1838,0.0073566,0.034
36,2022/07/13 16:12:08,2,18.7,14.6,36.006,2.642,1838,0.0073564,0
36,2022/07/13 16:12:08,3,19.1,14.8,29.003,2.147,1394,0.0074204,8.706
37,2022/07/13 16:20:49,1,18.7,14.6,35.768,2.624,1838,0.0073565,0.007
37,2022/07/13 16:20:49,2,18.7,14.5,36.018,2.643,1838,0.0073564,0
37,2022/07/13 16:20:49,3,19.1,14.8,37.402,2.767,1791,0.0074169,8.226
38,2022/07/13 16:29:28,1,18.8,14.6,35.74,2.623,1838,0.0073567,0.044
38,2022/07/13 16:29:28,2,18.8,14.5,36.043,2.645,1838,0.0073564,0
38,2022/07/13 16:29:28,3,19.1,14.8,9.602,0.71,452,0.0074166,8.179
39,2022/07/13 16:38:09,1,18.6,14.4,35.769,2.625,1838,0.0073569,0.065
39,2022/07/13 16:38:09,2,18.6,14.4,35.988,2.64,1837,0.0073564,0
39,2022/07/13 16:38:09,3,19.0,14.7,8.872,0.654,414,0.007386,4.029
40,2022/07/13 16:46:49,1,18.8,14.6,35.781,2.625,1838,0.0073568,0.052
40,2022/07/13 16:46:49,2,18.7,14.6,36.007,2.642,1838,0.0073564,0
40,2022/07/13 16:46:49,3,19.1,14.8,23.128,1.711,1109,0.0074162,8.134
41,2022/07/13 16:55:29,1,18.7,14.5,35.763,2.624,1839,0.0073567,0.038
41,2022/07/13 16:55:29,2,18.7,14.5,36.057,2.646,1838,0.0073564,0
41,2022/07/13 16:55:29,3,19.1,14.7,22.331,1.653,1060,0.0074215,8.843
42,2022/07/13 17:04:09,1,18.7,14.5,35.725,2.621,1838,0.0073566,0.023
